ExpressionSymbol,GangName,Description,HpMod,SpeedMod,DamageMod,DefenseMod,PriceMod,LuckMod,SpecialEffect,Archetype,AggressionBias,SynergyTags,OnKillEffect,SoundProfile
X(,The Empaths,Keepers of the old emotional web. They feel too much.,1.2,0.9,0.8,0.9,1.0,0.0,Regeneration,Support,0.30,Emotion|Bio,HealSmall,WarmAnalog
X),The Ravers,Hedonistic speed-freaks chasing the eternal high.,0.9,1.2,0.9,1.1,1.0,0.05,None,Skirmisher,0.70,Chaos|Speed,GainSpeed,AcidBass
X],The Glitchers,Those who embrace the system errors.,0.9,1.1,1.1,1.0,0.9,0.15,RandomTeleport,Trickster,0.60,Glitch|Chaos,RandomTeleportBurst,GlitchBurst
XO,The Hazed,Perpetually confused but blissfully numb.,1.3,0.8,0.9,0.8,1.1,0.1,None,Bruiser,0.40,Status|Chaos,ConfusePulse,TapeWow
X{},The Shifters,Fluid identities constantly rewriting their own code.,1.0,1.05,1.05,1.0,1.0,0.05,CooldownReduction,Controller,0.50,Identity|Control,ReduceCooldown,PhaseShift
XI,The Stoics,Emotionless logic cores. Unshakable.,1.2,0.8,1.0,0.7,1.0,0.0,StatusResist,Tank,0.25,Logic|Defense,GainShield,ColdDrone
X\,The Iron Minds,Sheer willpower manifesting as reality.,1.0,1.0,1.2,0.9,1.0,0.0,None,Duelist,0.65,Will|Force,AdrenalSurge,MetalPulse
XV,The Networkers,Social engineers who own the nodes.,0.9,1.0,0.9,1.0,0.7,0.2,Charisma,Support,0.40,Network|Social,CharmMark,VocoderPop
X{.,The Vanguards,Frontline disruptors with a hero complex.,1.4,0.9,1.2,0.8,1.1,0.0,Aggro,Tank,0.85,Frontline|Aggro,TauntRoar,WarDrums
X*,The Archivists,Hoarders of forbidden data.,0.8,1.0,0.8,1.1,0.6,0.1,TechWiz,Controller,0.20,Data|Tech,DropData,BitcrushChimes
XQ,The Observers,They exist in superposition.,1.0,1.1,1.1,0.9,1.0,0.3,DodgeChance,Trickster,0.50,Quantum|Evasion,DodgeRefresh,ShimmerPad
XU,The Naturals,Rejecting the digital for the simulated organic.,1.3,1.0,1.0,0.8,1.0,0.1,BioRegen,Support,0.35,Bio|Nature,HealOverTime,OrganicPlucks
XD,The Jesters,To them existence is a punchline.,1.0,1.2,1.3,1.1,1.0,0.4,None,GlassCannon,0.80,Chaos|Crit,CritBoost,LaughGlitch
XP,The Punks,Burn fast burn bright.,0.8,1.4,1.5,1.3,1.1,0.1,None,GlassCannon,0.95,Rage|Speed,IgniteTrail,DistortedLead
XB,The Decentralized,Autonomous agents of chaos.,1.1,1.2,1.2,0.9,0.8,0.2,MoneyDrop,Skirmisher,0.75,Chaos|Economy,DropCurrency,ModemNoise
XJ,The Schemers,Calculated cruelty.,1.0,1.1,1.6,1.0,0.9,0.3,CritDmg,Assassin,0.90,Crit|Control,CritCashout,SharpClicks
XStacks,The Whales,Holders of the keys. The markets bow to them.,2.5,1.2,2.0,0.5,0.4,0.8,None,Boss,0.60,Wealth|Power,DropBigCurrency,SubDrone
XBitcoin,The OG,The Genesis Block. Immutable. Eternal.,5.0,1.5,4.0,0.1,0.0,1.0,GodMode,Boss,1.00,Genesis|Wealth|Mythic,AscendOnKill,CathedralSynth
