ExpressionSymbol,GangName,Description,HpMod,SpeedMod,DamageMod,DefenseMod,PriceMod,LuckMod,SpecialEffect
X(,The Empaths,Keepers of the old emotional web. They feel too much.,1.3,0.9,0.8,0.9,1.0,0.0,Regeneration
X),The Ravers,Hedonistic speed-freaks chasing the eternal high.,0.9,1.2,1.0,1.1,1.0,0.05,None
X],The Glitchers,Those who embrace the system errors.,0.8,1.1,1.2,1.0,0.9,0.20,RandomTeleport
X{},The Shifters,Fluid identities constantly rewriting their own code.,1.0,1.05,1.05,1.0,1.0,0.05,CooldownReduction
XO,The Hazed,Perpetually confused but blissfully numb.,1.2,0.7,0.9,0.6,1.2,0.1,None
XI,The Stoics,Emotionless logic cores. Unshakable.,1.1,0.9,1.0,0.8,1.0,0.0,StatusResist
X\,The Iron Minds,Sheer willpower manifesting as reality.,1.0,1.0,1.1,0.9,1.1,0.0,None
X{.,The Vanguards,Frontline disruptors with a hero complex.,1.2,1.0,1.2,1.1,1.2,0.0,Aggro
X*,The Archivists,Hoarders of forbidden data.,0.8,1.0,0.7,1.2,0.7,0.0,TechWiz
XV,The Networkers,Social engineers who own the nodes.,0.9,1.0,0.8,1.0,0.6,0.1,Charisma
XQ,The Observers,They exist in superposition.,1.0,1.0,1.0,1.0,1.0,0.1,DodgeChance
XD,The Jesters,To them existence is a punchline.,1.0,1.1,1.1,1.1,1.0,0.25,None
XU,The Naturals,Rejecting the digital for the simulated organic.,1.2,1.0,0.9,0.9,1.0,0.0,BioRegen
XP,The Punks,Burn fast burn bright.,0.7,1.3,1.3,1.3,1.1,0.0,None
XB,The Decentralized,Autonomous agents of chaos.,1.0,1.1,1.1,1.0,0.8,0.1,MoneyDrop
XJ,The Schemers,Calculated cruelty.,0.9,1.0,1.4,1.1,0.9,0.1,CritDmg
XStacks,The Whales,Holders of the keys.,2.0,0.8,2.0,1.0,0.5,0.5,None
XBitcoin,The OG,The Genesis Block.,5.0,2.0,5.0,0.1,0.0,1.0,GodMode
